,PLAYER_NAME,Isolation_FREQ,Transition_FREQ,PnR Ball-Handler_FREQ,PnR Roll Man_FREQ,Postup_FREQ,Spotup_FREQ,Handoff_FREQ,Cut_FREQ,Off Screens_FREQ,Putbacks_FREQ,Misc_FREQ,AVG_SHOT_DISTANCE,Alley Oop Dunk Shot_FREQ,Alley Oop Layup shot_FREQ,Cutting Dunk Shot_FREQ,Cutting Finger Roll Layup Shot_FREQ,Cutting Layup Shot_FREQ,Driving Bank Hook Shot_FREQ,Driving Bank shot_FREQ,Driving Dunk Shot_FREQ,Driving Finger Roll Layup Shot_FREQ,Driving Floating Bank Jump Shot_FREQ,Driving Floating Jump Shot_FREQ,Driving Hook Shot_FREQ,Driving Jump shot_FREQ,Driving Layup Shot_FREQ,Driving Reverse Dunk Shot_FREQ,Driving Reverse Layup Shot_FREQ,Dunk Shot_FREQ,Fadeaway Bank shot_FREQ,Fadeaway Jump Shot_FREQ,Finger Roll Layup Shot_FREQ,Floating Jump shot_FREQ,Hook Bank Shot_FREQ,Hook Shot_FREQ,Jump Bank Shot_FREQ,Jump Shot_FREQ,Layup Shot_FREQ,No Shot_FREQ,Pullup Bank shot_FREQ,Pullup Jump shot_FREQ,Putback Dunk Shot_FREQ,Putback Layup Shot_FREQ,Reverse Dunk Shot_FREQ,Reverse Layup Shot_FREQ,Running Alley Oop Dunk Shot_FREQ,Running Alley Oop Layup Shot_FREQ,Running Dunk Shot_FREQ,Running Finger Roll Layup Shot_FREQ,Running Hook Shot_FREQ,Running Jump Shot_FREQ,Running Layup Shot_FREQ,Running Pull-Up Jump Shot_FREQ,Running Reverse Dunk Shot_FREQ,Running Reverse Layup Shot_FREQ,Step Back Bank Jump Shot_FREQ,Step Back Jump shot_FREQ,Tip Dunk Shot_FREQ,Tip Layup Shot_FREQ,Turnaround Bank Hook Shot_FREQ,Turnaround Bank shot_FREQ,Turnaround Fadeaway Bank Jump Shot_FREQ,Turnaround Fadeaway shot_FREQ,Turnaround Hook Shot_FREQ,Turnaround Jump Shot_FREQ,FG3A_PER36,OREB_PER36,DREB_PER36,REB_PER36,AST_PER36,TOV_PER36,STL_PER36,BLKA_PER36,PTS_PER36
0,LeBron James,0.1827314689112137,0.2163996741786587,0.21999728482215586,0.026405104534347,0.103923431984795,0.07242736899266902,0.024029323920716807,0.05043442845506381,0.020703231061634537,0.02918816182459951,0.053760521314146076,11.588125665601703,0.006034788782392616,0.004703585374511892,0.01668441604543841,0.003461128860489883,0.026446574369897054,0.0013312034078807242,0.0016861909833155839,0.020589279375221866,0.020944266950656727,0.011714589989350373,0.015353212637557685,0.004614838480653177,0.0,0.14217252396166133,0.0006212282570110046,0.011537096201632943,0.006478523251686191,0.0010649627263045794,0.04401845935392261,0.0023074192403265887,0.00931842385516507,0.0001774937877174299,0.0025736599219027332,0.003993610223642172,0.25559105431309903,0.054313099041533544,0.0,8.874689385871494e-05,0.06638267660631877,0.0014199503017394391,0.012335818246361378,0.0005324813631522897,0.0077209797657082,0.0033723819666311677,0.0003549875754348598,0.019968051118210862,0.00878594249201278,0.0,0.005946041888533901,0.050763223287184946,0.012335818246361378,0.0007987220447284345,0.003461128860489883,0.0001774937877174299,0.054224352147674834,0.00044373446929357475,0.011537096201632943,0.0006212282570110046,0.0011537096201632944,0.0029286474973375934,0.048722044728434506,0.0028399006034788782,0.015353212637557685,5.626061368144048,1.1165700902676052,6.977698845836413,8.094268936104017,8.13747985291004,3.7057682252844355,1.2479312773579117,0.841748659381306,26.896203056740255
1,Chris Paul,0.17563203029290567,0.11961242900100234,0.4803430226083083,0.0,0.017596614322307608,0.0962245238890745,0.03062701859895311,0.0,0.003007016371533578,0.005457177859449827,0.07150016705646509,16.89522189139373,0.0,0.0,0.0,0.0001417836381681554,0.0018431872961860202,0.0,0.0019849709343541756,0.0001417836381681554,0.010633772862611655,0.00708918190840777,0.0368637459237204,0.0001417836381681554,0.0,0.04622146604281866,0.0,0.0011342691053452432,0.0001417836381681554,0.0004253509145044662,0.0696157663405643,0.0011342691053452432,0.017297603856514958,0.0,0.0002835672763363108,0.002835672763363108,0.3219906422798809,0.010491989224443499,0.0,0.0001417836381681554,0.3263859350630937,0.0,0.0015596200198497094,0.0,0.0004253509145044662,0.0,0.0,0.0,0.0019849709343541756,0.0,0.006522047355735148,0.009924854671770877,0.022260031192400397,0.0,0.0001417836381681554,0.0001417836381681554,0.08365234651921168,0.0,0.0005671345526726216,0.0,0.0,0.0005671345526726216,0.0092159364809301,0.0,0.006096696441230682,5.191040145813156,0.5396922754599739,4.681330774545403,5.2210230500053765,9.882365221755967,2.560540018015654,1.9448910519353872,0.24585981437621032,18.445482659054218
2,Kyle Lowry,0.07376676517390315,0.20754716981132076,0.29768129120254605,0.007274380541032053,0.006137758581495794,0.1808365537622187,0.067742668788361,0.01386678790634235,0.06478745169356671,0.011025233007501705,0.06933393953171176,17.639437462597247,0.0,0.0,0.0,0.0014961101137043686,0.010921603830041891,0.0011968880909634949,0.0016457211250748055,0.0,0.01331538001196888,0.010472770795930581,0.03216636744464393,0.005236385397965291,0.0,0.10233393177737882,0.0,0.010771992818671455,0.0,0.00014961101137043686,0.01959904248952723,0.0014961101137043686,0.010921603830041891,0.00014961101137043686,0.001047277079593058,0.0037402752842609216,0.39871334530221425,0.02378815080789946,0.0,0.0005984440454817474,0.17220227408737282,0.0,0.0038898862956313583,0.0,0.0028426092160383004,0.0,0.0,0.0,0.004338719329742669,0.0,0.021394374625972472,0.032615200478755234,0.02917414721723519,0.0,0.0017953321364452424,0.00014961101137043686,0.04488330341113106,0.0,0.0034410532615200477,0.0002992220227408737,0.0002992220227408737,0.0008976660682226212,0.01855176540993417,0.0013464991023339318,0.012118491921005385,7.1835481698544905,0.7310105552810118,4.250061367912859,4.98107192319387,7.160881175892288,2.687927700684444,1.3826866316943167,0.6327869147781368,17.064468621211006
3,Kevin Durant,0.16244815034284263,0.17455345805468553,0.1671886904258021,0.02421061542368577,0.08846186404808262,0.13493608736138152,0.04054854820959959,0.043426733259967834,0.10353000931177517,0.01032760518073309,0.05036823838144417,14.524922463447053,0.004209127159946832,0.004209127159946832,0.014399645547186531,0.0007753655294638901,0.005870624723083739,0.0003322995126273815,0.001329198050509526,0.02104563579973416,0.0101905183872397,0.008418254319893664,0.023704031900753212,0.00232609658839167,0.0,0.043863535666814356,0.0005538325210456358,0.004762959680992468,0.011187416925121842,0.0011076650420912715,0.06801063358440408,0.0015507310589277803,0.011741249446167478,0.0,0.0009968985378821444,0.001993797075764289,0.3219982277359327,0.02226406734603456,0.0,0.00022153300841825432,0.24601240584847142,0.0008861320336730173,0.002215330084182543,0.00022153300841825432,0.002215330084182543,0.0005538325210456358,0.0005538325210456358,0.017279574656623838,0.002769162605228179,0.0,0.011741249446167478,0.01595037660611431,0.016061143110323438,0.0,0.0009968985378821444,0.0,0.02503322995126274,0.00044306601683650863,0.002215330084182543,0.0,0.0007753655294638901,0.0011076650420912715,0.0412051395657953,0.0003322995126273815,0.024368630926007974,5.646675105795867,0.5148439067049173,6.802997912387153,7.317841819092071,5.486824376697969,3.1783307305049533,0.869837084311937,0.5771234115482541,27.791191044591645
4,Mike Conley,0.06851102701291922,0.1016573143677411,0.44016703640871724,0.0,0.0,0.16142502936186873,0.08521466788464048,0.014615685762756101,0.07373091478533211,0.004436904606550959,0.050241419809474094,15.959967974379504,0.0,0.0,0.0,0.0011208967173738991,0.010408326661329063,0.0001601281024819856,0.0014411529223378704,0.0001601281024819856,0.02145716573258607,0.019055244195356286,0.10584467574059248,0.0017614091273018414,0.0,0.10952762209767815,0.0,0.007365892714171337,0.0,0.0001601281024819856,0.005924739791833467,0.0016012810248198558,0.07077662129703763,0.0,0.0006405124099279424,0.0032025620496397116,0.33258606885508407,0.02065652522017614,0.0,0.00048038430744595676,0.14523618895116092,0.0,0.0003202562049639712,0.0,0.002081665332265813,0.0,0.0,0.0003202562049639712,0.001921537229783827,0.0,0.018574859887910328,0.018734987990392315,0.011369095276220978,0.0,0.00048038430744595676,0.0001601281024819856,0.07510008006405124,0.0,0.0040032025620496394,0.0001601281024819856,0.0,0.00048038430744595676,0.0028823058446757407,0.0014411529223378704,0.0024019215372297837,6.5582289445992,0.6404343655353946,3.016604272998873,3.6570386385342677,6.947468205631312,2.0525581962565473,1.421175906559109,0.49333813316860786,18.35308376145601
5,Jeff Green,0.05442633966067529,0.17033428523433564,0.0522425667730556,0.10616495884428019,0.09692591970435074,0.29161767176213677,0.014782462623887115,0.09961364018142113,0.0173022005711406,0.03897194691752058,0.05761800772719637,12.963412084465816,0.0075266569098891905,0.004808697470206983,0.027179594396822077,0.006272214091574326,0.035751620321973654,0.002299811833577253,0.004599623667154506,0.013798871001463516,0.015889609031988293,0.008781099728204057,0.017562199456408113,0.010035542546518922,0.0,0.06753083838595024,0.0006272214091574326,0.004181476061049551,0.010035542546518922,0.0002090738030524775,0.008572025925151579,0.0020907380305247754,0.01777127325946059,0.00083629521220991,0.015471461425883336,0.00669036169767928,0.4162659418774827,0.048714196111227265,0.0002090738030524775,0.0002090738030524775,0.039096801170813295,0.0010453690152623877,0.008990173531256534,0.0014635166213673428,0.009617394940413967,0.003972402257997073,0.00083629521220991,0.01798034706251307,0.0071085093037842354,0.0,0.0102446163495714,0.027388668199874556,0.0010453690152623877,0.0,0.0014635166213673428,0.0002090738030524775,0.01777127325946059,0.0012544428183148652,0.02111645410830023,0.000418147606104955,0.000418147606104955,0.0020907380305247754,0.028015889609031987,0.014844240016725904,0.029688480033451807,4.296820592693656,1.0077154484852242,3.9942619592501503,5.001977407735375,2.069110654516877,1.4713133545680153,0.7393166607530822,0.5758373991344138,15.34753068031976
6,Derrick Rose,0.09615710174369392,0.1686135093956323,0.45082105975960723,0.0,0.0,0.14965295412222787,0.040460470628068394,0.0297951582867784,0.016929067208396816,0.014389707127137295,0.03318097172845776,10.657328461226147,0.0,0.0004060089321965083,0.00020300446609825416,0.0004060089321965083,0.008526187576126675,0.00020300446609825416,0.002639058059277304,0.0016240357287860333,0.023751522533495738,0.015225334957369063,0.06760048721071864,0.003451075923670321,0.0,0.18696711327649207,0.0,0.028014616321559074,0.0004060089321965083,0.0008120178643930166,0.0048721071863581,0.00020300446609825416,0.05805927730410069,0.0004060089321965083,0.00243605359317905,0.013601299228583028,0.2624847746650426,0.05481120584652863,0.0,0.0048721071863581,0.12667478684531058,0.0,0.0060901339829476245,0.0,0.006293138449045879,0.0,0.00020300446609825416,0.0006090133982947625,0.004669102720259845,0.0,0.010150223304912708,0.026187576126674786,0.005278116118554608,0.0,0.0032480714575720666,0.0018270401948842874,0.03816483962647178,0.0,0.003451075923670321,0.00020300446609825416,0.00020300446609825416,0.0028420625253755584,0.001218026796589525,0.008729192042224929,0.011977263499796996,3.1073717250098087,0.872816533481776,2.966127555691181,3.838944089172957,5.667874999580828,2.6619093448510593,0.9126546325203633,1.307413977539092,20.46953961509958
7,Russell Westbrook,0.18734913659714056,0.21495327102803738,0.26842854490313794,0.0011759608838274433,0.07940830599740051,0.1047843040168348,0.021971900724144334,0.022343256792721422,0.008355511542984464,0.031750943863340965,0.059478863650430154,11.40356455526734,0.0018408501380637603,0.0010041000753075056,0.0041837503137812735,0.0013388001004100076,0.00978997573424818,0.0,0.0010877750815831311,0.011128775834658187,0.035896577692243324,0.006024600451845034,0.007279725545979416,0.0003347000251025019,0.0,0.1763869132290185,8.367500627562547e-05,0.010459375784453185,0.0043511003263325245,0.0015061501129612586,0.02083507656263074,0.0020082001506150113,0.005187850389088779,0.0003347000251025019,0.0010877750815831311,0.009706300727972555,0.20968956572671743,0.04744372855827964,0.0,0.002844950213371266,0.2420717931553845,0.0005857250439293783,0.00978997573424818,0.0,0.0041000753075056484,0.0006694000502050038,0.0003347000251025019,0.01238390092879257,0.01087775081583131,0.0,0.005522550414191281,0.05371935402895155,0.011547150866036315,8.367500627562547e-05,0.0017571751317881348,0.001422475106685633,0.022508576688143253,0.0011714500878587566,0.010794075809555687,0.0003347000251025019,0.0020082001506150113,0.008618525646389423,0.010124675759350683,0.0005857250439293783,0.017153376286503222,4.700059106276778,1.720498494724038,7.5873324422504504,9.307830936974488,9.639076336820784,4.527020464566027,1.6331551803367066,1.1288711387796608,23.88098054314754
8,Danilo Gallinari,0.12972057578323454,0.10381033022861981,0.0934801016088061,0.06435224386113463,0.12413209144792549,0.2741744284504657,0.05012701100762066,0.04318374259102455,0.050465707027942425,0.024386113463166808,0.04216765453005927,16.663953737417007,0.002570143499678732,0.0023559648747055045,0.01285071749839366,0.0008567144998929107,0.010708931248661383,0.00021417862497322766,0.0,0.01756264724780467,0.010923109873634611,0.0010708931248661383,0.006211180124223602,0.000642535874919683,0.0,0.06254015849218247,0.000642535874919683,0.00278432212465196,0.00835296637395588,0.0010708931248661383,0.05076033411865496,0.007924609124009423,0.006211180124223602,0.0,0.001285071749839366,0.004069393874491326,0.5247376311844077,0.046476761619190406,0.0,0.00021417862497322766,0.06853715999143285,0.0008567144998929107,0.004069393874491326,0.0008567144998929107,0.00278432212465196,0.00042835724994645533,0.00021417862497322766,0.003855215249518098,0.0014992503748125937,0.0,0.00556864424930392,0.007924609124009423,0.0034268579995716426,0.00021417862497322766,0.0,0.00021417862497322766,0.06061255086742343,0.00042835724994645533,0.008995502248875561,0.0,0.00042835724994645533,0.0008567144998929107,0.020775326622403084,0.00042835724994645533,0.0239880059970015,6.346187969970531,0.7761095353679859,5.411871490854455,6.187981026222441,2.5074308065734927,1.3850570169644056,0.7701394620190014,0.6059624449219275,20.104222002705328
9,Eric Gordon,0.08135408135408136,0.18018018018018017,0.20966420966420968,0.007371007371007371,0.0,0.31558831558831557,0.07575757575757576,0.01678951678951679,0.07425607425607425,0.0034125034125034124,0.03562653562653563,17.41163055872292,0.00016289297931259162,0.001303143834500733,0.0008144648965629581,0.0008144648965629581,0.01498615409675843,0.00032578595862518323,0.0006515719172503665,0.004561003420752566,0.03355595373839387,0.01400879622088288,0.031112559048705,0.00407232448281479,0.0,0.14171689200195473,0.0,0.01303143834500733,0.0008144648965629581,0.0006515719172503665,0.004723896400065157,0.001791822772438508,0.012379866427756963,0.00016289297931259162,0.001791822772438508,0.003909431503502199,0.5430851930281805,0.027366020524515394,0.00016289297931259162,0.00016289297931259162,0.06320247597328556,0.00032578595862518323,0.0006515719172503665,0.0,0.0019547157517510994,0.00016289297931259162,0.0,0.001303143834500733,0.0021176087310636913,0.0,0.01628929793125916,0.016777976869196937,0.004235217462127383,0.0,0.0008144648965629581,0.00016289297931259162,0.0272031275452028,0.0,0.003094966606939241,0.0,0.0,0.0006515719172503665,0.0009773578758755497,0.00032578595862518323,0.0016289297931259162,8.691601549057255,0.3378772720142901,2.262612628454315,2.600489900468605,2.7799143828486073,1.845508961622881,0.8155658290000105,0.7922639481714389,17.756033191371657
